id;name;fk_seal_id;fk_supported_language_id
1;Hooded Seal;1;1
2;Cystophora cristata;1;2
3;Bearded Seal;2;1
4;Erignathus barbatus;2;2
5;Grey Seal;3;1
6;Halichoerus grypus;3;2
7;Ribbon Seal;4;1
8;Phoca fasciata;4;2
9;Caspian Seal;5;1
10;Phoca caspica;5;2
11;Harp Seal;6;1
12;Phoca groenlandica;6;2
13;Ringed Seal;7;1
14;Phoca hispida;7;2
15;Spotted Seal;8;1
16;Phoca largha;8;2
17;Baikal Seal;9;1
18;Phoca sibirica;9;2
19;Harbour Seal;10;1
20;Phoca vitulina;10;2
21;Leopard Seal;11;1
22;Hydrurga leptonyx;11;2
23;Weddell Seal;12;1
24;Leptonychotes weddellii;12;2
25;Crabeater Seal;13;1
26;Lobodon carcinophagus;13;2
27;Southern Elephant Seal;14;1
28;Mirounga leonina;14;2
29;Northern Elephant Seal;15;1
30;Mirounga angustirostris;15;2
31;Mediterranean Monk Seal;16;1
32;Monachus monachus;16;2
33;Ross Seal;17;1
34;Ommatophoca rossii;17;2
35;Hawaiian Monk Seal;18;1
36;Monachus schauinslandi;18;2